exp,QSP/init_value/Parameter/k_C1_growth,QSP/init_value/Parameter/k_C1_death,QSP/init_value/Parameter/initial_tumour_diameter,QSP/init_value/Parameter/k_Treg,QSP/init_value/Parameter/n_T1_clones,QSP/init_value/Parameter/n_T2_clones,QSP/init_value/Parameter/n_T3_clones,QSP/init_value/Parameter/n_T4_clones,QSP/init_value/Parameter/n_T5_clones,QSP/init_value/Parameter/n_T6_clones,QSP/init_value/Parameter/n_T7_clones,QSP/init_value/Parameter/n_T8_clones,QSP/init_value/Parameter/n_T9_clones,QSP/init_value/Parameter/n_T10_clones,QSP/init_value/Parameter/n_T11_clones,QSP/init_value/Parameter/n_T12_clones,QSP/init_value/Parameter/n_T13_clones,QSP/init_value/Parameter/n_T14_clones,QSP/init_value/Parameter/n_T15_clones,QSP/init_value/Parameter/n_T16_clones,QSP/init_value/Parameter/n_T17_clones,QSP/init_value/Parameter/k_P1_d1,QSP/init_value/Parameter/k_P2_d1,QSP/init_value/Parameter/k_P3_d1,QSP/init_value/Parameter/k_P4_d1,QSP/init_value/Parameter/k_P5_d1,QSP/init_value/Parameter/k_P6_d1,QSP/init_value/Parameter/k_P7_d1,QSP/init_value/Parameter/k_P8_d1,QSP/init_value/Parameter/k_P9_d1,QSP/init_value/Parameter/k_P10_d1,QSP/init_value/Parameter/k_P11_d1,QSP/init_value/Parameter/k_P12_d1,QSP/init_value/Parameter/k_P13_d1,QSP/init_value/Parameter/k_P14_d1,QSP/init_value/Parameter/k_P15_d1,QSP/init_value/Parameter/k_P16_d1,QSP/init_value/Parameter/k_P17_d1,QSP/init_value/Parameter/C1_PDL1_total,QSP/init_value/Parameter/C1_PDL2_total,QSP/init_value/Parameter/Treg_CTLA4_50,QSP/init_value/Parameter/k_CTLA4_ADCC,QSP/init_value/Parameter/IC50_ENT_C,QSP/init_value/Parameter/k_sec_CCL2,QSP/init_value/Parameter/k_sec_NO,QSP/init_value/Parameter/k_sec_ArgI,QSP/init_value/Parameter/IC50_ENT_NO,QSP/init_value/Parameter/ki_Treg,QSP/init_value/Parameter/IC50_ArgI_CTL,QSP/init_value/Parameter/IC50_NO_CTL,QSP/init_value/Parameter/k_a1_ENT,QSP/init_value/Parameter/k_a2_ENT,QSP/init_value/Parameter/k_cln_ENT,QSP/init_value/Parameter/q_T_ENT,QSP/init_value/Parameter/k_cl_ENT
26,0.0243852,0.000143185,0.621086,0.959561,11.384,11.384,11.384,11.384,11.384,11.384,11.384,11.384,11.384,11.384,11.384,11.384,11.384,11.384,11.384,11.384,11.384,1.85403e-07,1.00415e-07,1.17219e-08,1.36731e-07,9.13373e-09,1.8239e-07,2.17943e-09,8.57517e-09,2.78633e-09,1.85305e-07,4.85868e-07,1.34542e-07,2.16256e-09,2.03594e-09,3.33274e-07,5.0784e-08,2.89933e-09,88240.9,34639.8,571.97,0.151655,3.09688e-07,1.2169e-10,4.7025e-07,0.015126,7.13606e-10,0.458571,49.2152,2.07408e-10,1.93775,5.62955,0.000114196,3263.47,0.247715
27,0.020042,0.000128211,0.667988,0.513027,23.5651,23.5651,23.5651,23.5651,23.5651,23.5651,23.5651,23.5651,23.5651,23.5651,23.5651,23.5651,23.5651,23.5651,23.5651,23.5651,23.5651,9.04446e-09,1.33217e-07,8.03326e-08,8.25739e-08,3.5382e-08,3.63393e-08,2.02326e-09,7.48787e-09,3.33515e-07,4.7272e-07,7.12923e-09,2.97125e-09,2.79192e-09,3.97543e-09,1.08629e-07,1.00593e-07,1.32096e-08,132704,2399.15,715.562,0.771473,2.39565e-08,1.26886e-10,5.19105e-07,0.0124887,6.63924e-11,2.31874,7.46147,3.80475e-10,2.03366,2.53486,7.95063e-05,3416.13,0.455115
28,0.032258,0.000734927,0.830753,0.23357,14.7831,14.7831,14.7831,14.7831,14.7831,14.7831,14.7831,14.7831,14.7831,14.7831,14.7831,14.7831,14.7831,14.7831,14.7831,14.7831,14.7831,2.40541e-09,3.73954e-09,3.09728e-08,3.28126e-08,2.24468e-07,3.18805e-09,7.12132e-08,4.55561e-07,2.09779e-09,2.30324e-09,1.4271e-07,9.77329e-09,1.87034e-08,2.04135e-08,1.70449e-09,2.58824e-07,2.86876e-08,1.05168e+06,18492.8,298.022,0.144627,3.58069e-09,1.51289e-10,4.28632e-07,0.0127372,1.17916e-09,0.817913,349.779,1.1754e-09,1.97203,6.72189,9.14619e-05,3386.54,0.804228
29,0.0285923,1.04181e-05,0.770671,0.682049,4.50564,4.50564,4.50564,4.50564,4.50564,4.50564,4.50564,4.50564,4.50564,4.50564,4.50564,4.50564,4.50564,4.50564,4.50564,4.50564,4.50564,2.58859e-08,4.76316e-08,1.7206e-08,1.50756e-07,3.56757e-07,1.92594e-08,3.42239e-09,1.70249e-07,2.24878e-07,2.85368e-07,3.27652e-09,1.429e-08,1.32357e-08,1.45352e-07,1.70435e-07,1.61321e-08,7.88807e-09,771068,4361.57,320.333,0.271028,8.43198e-08,1.88104e-10,4.4399e-07,0.0144061,5.98556e-11,0.513099,14.6031,3.7781e-09,2.16885,4.37061,9.39187e-05,3405.26,0.496801
30,0.0139515,1.12719e-05,0.6717,0.250436,37.1265,37.1265,37.1265,37.1265,37.1265,37.1265,37.1265,37.1265,37.1265,37.1265,37.1265,37.1265,37.1265,37.1265,37.1265,37.1265,37.1265,4.22768e-07,4.94787e-07,3.70262e-08,2.52004e-07,4.0291e-08,1.4592e-07,1.32977e-08,3.02348e-08,5.28978e-07,4.33795e-09,4.58587e-09,9.26457e-08,2.01806e-07,1.01841e-08,2.58372e-09,1.16629e-08,7.92814e-08,61017.5,5314.84,380.335,0.378908,1.35774e-07,1.85081e-10,5.04471e-07,0.0158359,2.79391e-10,0.575356,221.304,1.52115e-09,2.19218,6.85106,8.7524e-05,3244.72,0.928183
31,0.0385951,3.8067e-05,0.751843,0.908708,7.7938,7.7938,7.7938,7.7938,7.7938,7.7938,7.7938,7.7938,7.7938,7.7938,7.7938,7.7938,7.7938,7.7938,7.7938,7.7938,7.7938,6.74618e-09,1.90404e-07,3.39273e-09,1.66671e-08,7.81134e-08,2.56012e-09,1.11678e-08,1.28625e-07,4.70117e-08,4.25976e-08,2.54391e-09,8.30562e-09,2.25646e-08,3.78365e-08,2.84806e-08,5.47112e-09,3.58331e-09,268332,7764.21,307.919,0.215489,1.87497e-08,1.60654e-10,4.53424e-07,0.0153746,4.36706e-09,0.777004,585.188,3.08905e-09,1.95852,5.88317,7.36873e-05,3204.58,0.409946
32,0.04691,3.19488e-05,0.581424,0.198921,14.4854,14.4854,14.4854,14.4854,14.4854,14.4854,14.4854,14.4854,14.4854,14.4854,14.4854,14.4854,14.4854,14.4854,14.4854,14.4854,14.4854,1.39386e-08,2.48584e-07,1.89039e-08,7.41502e-08,1.59726e-09,1.15977e-08,1.06941e-08,1.47046e-09,1.15887e-07,6.66225e-09,2.26468e-07,6.2483e-09,1.45065e-09,2.24975e-07,5.02146e-07,3.21853e-08,4.94547e-07,1.13815e+06,7456.61,994.018,0.159122,3.70996e-09,2.01668e-10,5.42994e-07,0.0138484,1.48049e-10,0.280245,8.11754,2.03011e-09,2.00387,3.50058,6.52811e-05,3225.96,0.327703
33,0.00750392,2.79386e-05,0.503575,0.76297,30.1969,30.1969,30.1969,30.1969,30.1969,30.1969,30.1969,30.1969,30.1969,30.1969,30.1969,30.1969,30.1969,30.1969,30.1969,30.1969,30.1969,2.95758e-08,4.09495e-09,6.84972e-09,1.91925e-07,9.00157e-08,1.36953e-07,2.14082e-07,3.59358e-09,2.27043e-08,1.25104e-07,4.45555e-09,1.48784e-09,2.93559e-09,5.61254e-09,2.05028e-09,9.84235e-09,2.46189e-08,426299,1516.85,361.668,0.467247,1.60531e-07,1.36787e-10,5.3097e-07,0.0155143,9.5001e-10,1.13072,41.6222,1.20926e-09,2.05653,6.48693,7.15605e-05,3355.51,1.23505
34,0.0277351,0.000282575,0.526037,0.398628,10.0423,10.0423,10.0423,10.0423,10.0423,10.0423,10.0423,10.0423,10.0423,10.0423,10.0423,10.0423,10.0423,10.0423,10.0423,10.0423,10.0423,2.6603e-09,3.21857e-07,2.58871e-09,1.8882e-09,2.4895e-09,2.08052e-07,2.61526e-08,1.50094e-08,6.63483e-08,1.62629e-09,1.02124e-07,8.08707e-08,5.12093e-07,1.0653e-07,2.05794e-08,6.6179e-09,4.6641e-08,154369,3894.08,256.652,0.3643,2.21332e-07,1.64082e-10,4.19848e-07,0.0120477,1.08643e-10,0.568425,16.3435,8.85288e-11,2.07974,3.92858,0.000118707,3318.39,0.220086
35,0.0231815,0.000123758,0.558417,0.159478,9.59528,9.59528,9.59528,9.59528,9.59528,9.59528,9.59528,9.59528,9.59528,9.59528,9.59528,9.59528,9.59528,9.59528,9.59528,9.59528,9.59528,3.34368e-09,5.53254e-08,6.00329e-08,1.6306e-07,3.03389e-09,4.71196e-09,3.1464e-08,2.04768e-09,6.47559e-09,7.34724e-09,1.63705e-08,4.90286e-08,8.87917e-08,6.34038e-09,1.33888e-07,4.87661e-07,1.24573e-07,282746,10081.2,168.475,0.100188,1.02309e-08,8.32316e-11,4.34401e-07,0.0149379,4.50399e-09,1.43638,18.9046,1.75045e-10,1.96509,2.93293,7.32389e-05,3299.06,0.723245
36,0.0412471,0.000102677,0.546192,0.576404,15.7682,15.7682,15.7682,15.7682,15.7682,15.7682,15.7682,15.7682,15.7682,15.7682,15.7682,15.7682,15.7682,15.7682,15.7682,15.7682,15.7682,1.84632e-08,1.84734e-09,4.15918e-09,3.48805e-07,4.26219e-07,7.48577e-08,1.75607e-09,5.45924e-08,9.69202e-09,1.95513e-09,4.37866e-08,3.24428e-07,1.61787e-07,1.95882e-08,5.02065e-09,9.11035e-09,1.75487e-09,121551,2633.87,166.6,0.23599,2.89531e-09,9.66015e-11,5.25279e-07,0.0142157,7.95766e-10,0.297713,147.668,1.35601e-09,2.20922,3.77786,0.000108209,3266.1,0.189257
37,0.0292111,1.67563e-05,0.856593,0.276299,22.3486,22.3486,22.3486,22.3486,22.3486,22.3486,22.3486,22.3486,22.3486,22.3486,22.3486,22.3486,22.3486,22.3486,22.3486,22.3486,22.3486,8.02893e-08,2.29628e-09,1.33545e-07,2.68061e-07,1.5449e-08,2.22335e-08,4.18673e-09,4.8865e-08,8.17623e-08,1.62823e-08,2.95268e-07,3.50127e-09,9.24033e-08,2.50059e-08,8.66203e-08,4.31672e-08,2.68219e-09,893080,30183,212.144,0.192723,1.48261e-08,1.28081e-10,4.29373e-07,0.0159445,9.54254e-11,1.76974,213.897,2.17075e-10,2.09562,3.14212,8.41821e-05,3236.45,0.882487
38,0.00976505,7.72807e-05,0.633966,0.594092,12.1053,12.1053,12.1053,12.1053,12.1053,12.1053,12.1053,12.1053,12.1053,12.1053,12.1053,12.1053,12.1053,12.1053,12.1053,12.1053,12.1053,5.88586e-08,3.3023e-09,5.41456e-08,1.91878e-08,1.28748e-08,1.65321e-09,9.92637e-08,2.92791e-07,5.02843e-08,3.94131e-07,5.42195e-08,2.18658e-08,2.25629e-07,1.27013e-07,2.30111e-09,2.33278e-09,1.93641e-07,113564,5980.27,150.132,0.128087,2.23894e-08,1.41423e-10,4.01378e-07,0.0137148,1.59287e-10,1.64668,257.784,5.45093e-09,1.94314,4.56886,0.000119576,3241.48,0.318112
39,0.0101149,0.00036412,0.613987,0.625231,13.9735,13.9735,13.9735,13.9735,13.9735,13.9735,13.9735,13.9735,13.9735,13.9735,13.9735,13.9735,13.9735,13.9735,13.9735,13.9735,13.9735,1.65288e-09,3.70733e-08,3.27727e-09,4.83223e-07,1.71764e-07,4.3487e-07,7.87335e-08,6.36291e-09,2.16106e-07,2.8694e-08,7.65682e-08,1.15558e-07,3.09366e-07,8.58473e-09,1.19703e-08,7.70666e-09,1.73005e-08,53373.2,9605.47,230.655,0.13472,2.50554e-09,1.45137e-10,4.15313e-07,0.0131078,4.16839e-10,2.20516,27.0001,6.62577e-10,2.12795,2.67431,0.000100569,3398.67,1.18904
40,0.0741685,0.000796297,0.781638,0.214326,27.0867,27.0867,27.0867,27.0867,27.0867,27.0867,27.0867,27.0867,27.0867,27.0867,27.0867,27.0867,27.0867,27.0867,27.0867,27.0867,27.0867,5.43611e-08,2.2984e-08,2.58864e-08,2.01254e-08,1.19433e-07,8.61437e-09,3.17595e-09,4.08483e-08,1.2804e-08,2.26605e-08,3.79713e-07,2.62674e-08,1.70638e-07,1.50161e-09,9.75421e-09,1.38499e-09,1.76116e-07,162643,17374.6,341.828,0.696749,8.27223e-09,1.82191e-10,5.1345e-07,0.013234,8.44402e-11,0.750515,31.7427,4.48433e-09,1.91387,6.35943,6.35363e-05,3281.56,0.229861
